,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07
71,31003,Antelope,Nebraska,US,42.17695516,-98.0666283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,26009,Antrim,Michigan,US,44.99690221,-85.15503082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4001,Apache,Arizona,US,35.39465006,-109.4892383,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,19007,Appanoose,Iowa,US,40.74324454,-92.86865906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,13001,Appling,Georgia,US,31.74847232,-82.28909114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,51011,Appomattox,Virginia,US,37.37569884,-78.81340003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,48007,Aransas,Texas,US,28.10556197,-96.9995047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,8005,Arapahoe,Colorado,US,39.64977461,-104.3353617,69,58,58,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,48009,Archer,Texas,US,33.61569967,-98.68754589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,8007,Archuleta,Colorado,US,37.19474156,-107.0476867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,26011,Arenac,Michigan,US,44.0636262,-83.89277559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5001,Arkansas,Arkansas,US,34.29145151,-91.37277296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,51013,Arlington,Virginia,US,38.8767675,-77.10139853,46,36,34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,42005,Armstrong,Pennsylvania,US,40.81665618,-79.46290811,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,48011,Armstrong,Texas,US,34.96507426,-101.3574874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,23003,Aroostook,Maine,US,46.65926321,-68.59841248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,31005,Arthur,Nebraska,US,41.56896142,-101.6959559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,22005,Ascension,Louisiana,US,30.20406249,-90.91328409999998,65,36,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,37009,Ashe,North Carolina,US,36.43296207,-81.49862729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,39005,Ashland,Ohio,US,40.84772277,-82.27280781,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,55003,Ashland,Wisconsin,US,46.31956891,-90.67837132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,5003,Ashley,Arkansas,US,33.19153461,-91.7698471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,39007,Ashtabula,Ohio,US,41.70860332,-80.74830218,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,53003,Asotin,Washington,US,46.18894415,-117.2022851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,22007,Assumption,Louisiana,US,29.89946234,-91.06461642,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,48013,Atascosa,Texas,US,28.89333001,-98.52730485,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,20005,Atchison,Kansas,US,39.53185661,-95.30870026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,29005,Atchison,Missouri,US,40.43238737,-95.42970639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,39009,Athens,Ohio,US,39.33425634,-82.04278644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,13003,Atkinson,Georgia,US,31.29633502,-82.87545866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,34001,Atlantic,New Jersey,US,39.47538693,-74.65848483,12,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,40005,Atoka,Oklahoma,US,34.37366573,-96.03802487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,28007,Attala,Mississippi,US,33.08658803,-89.57838564,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
